,Employer,Location,Union,Expiration date,NAICS,Number of workers,Sector type,Contract link
37,AEROSPACE CORP.,CA,APSA (I) ?-,"Aug 01, 2008",54171,1600,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=361
38,AEROSPACE CORP.,CA EL SEGUNDO,APSA (I) -,"Aug 01, 2005",54171,1600,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=362
39,AEROSPACE CORP.,CA EL SEGUNDO,APSA (I) -,"Aug 01, 2009",54171,1600,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=363
40,AFSCME NEW JERSEY ORGANIZING COMMITTEE/COUNCIL 73,NJ,STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 73 CENTRAL NEW JERSEY DISTRICT,"Apr 01, 2024",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2339
41,AFT CONNECTICUT,CT MI IL MT ID DC WA MA CT,STAFF UNION,"Jun 30, 2019",,,PUBLIC,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=3605
42,AGC OF MICHIGAN,MI,MICHIGAN REGIONAL COUNCIL OF CARPENTERS,"Jun 01, 2023",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2510
43,AGC OF MINNESOTA LAKES AND PLAINS REGIONAL COUNCIL OF CARPENTERS AND JOINERS,MN,UBC,"Apr 30, 2008",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1506
44,AGC OF NORTHWEST OHIO AND TOLEDO AREA CARPENTER EMPLOYERS ASSOCIATION,OH,"UBC 248, 372,1138,15812239","Jun 30, 2007",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1424
45,AGC OF ST. LOUIS AND THE ERECTORS AND RIGGERS ASSOCIATION,MO ST. LOUIS,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396,"Aug 01, 2007",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1381
46,AGC OH (LABOR RELATIONS DIVISION),OH,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18","Apr 30, 2007",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1616
47,"AGC, AK","AK, ANCHORAGE",CARPENTERS IND (CJA) LOCAL UNION 12/CARPENTERS IND (CJA) LOCAL UNION 247,"Jun 30, 2008",23621,1000,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1357
48,"AGC, AK",AK,CARPENTERS IND (CJA) LOCAL UNION 1243/CARPENTERS IND (CJA) LOCAL UNION 1281/CARPENTERS IND (CJA) LOCAL UNION 2247/CARPENTERS IND (CJA) LOCAL UNION 2520,"Jun 30, 2011",23621,1000,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1358
49,"3-D EXHIBITS, INC.",IL,CRCC,"May 31, 2020",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2315
